ensembl,pathways
ENSP00000000233,['hsa04144']
ENSP00000418915,"['hsa04110', 'hsa04115', 'hsa04218']"
ENSP00000432568,unknown
ENSP00000427900,unknown
ENSP00000350199,['hsa04142']
ENSP00000438085,['hsa04142']
ENSP00000482835,['hsa04144']
ENSP00000354878,unknown
ENSP00000405926,unknown
ENSP00000314615,['hsa04144']
ENSP00000349588,unknown
ENSP00000326031,"['hsa03015', 'hsa04022', 'hsa04024', 'hsa04114', 'hsa04218', 'hsa04390', 'hsa04510', 'hsa04611', 'hsa04910', 'hsa04921']"
ENSP00000414982,unknown
ENSP00000480707,unknown
ENSP00000324020,unknown
ENSP00000300087,unknown
ENSP00000268919,unknown
ENSP00000384164,unknown
ENSP00000388878,unknown
ENSP00000258739,unknown
ENSP00000310226,unknown
ENSP00000346762,unknown
ENSP00000303145,unknown
ENSP00000364864,unknown
ENSP00000404190,unknown
ENSP00000263373,unknown
ENSP00000359000,['hsa04144']
ENSP00000380308,['hsa04145']
ENSP00000380432,"['hsa04010', 'hsa04014', 'hsa04015', 'hsa04022', 'hsa04066', 'hsa04068', 'hsa04072', 'hsa04114', 'hsa04150', 'hsa04151', 'hsa04152', 'hsa04910', 'hsa04911', 'hsa04913', 'hsa04914', 'hsa04917', 'hsa04923']"
ENSP00000297044,"['hsa04072', 'hsa04144']"
ENSP00000401010,['hsa04144']
ENSP00000262305,['hsa04144']
ENSP00000369755,unknown
ENSP00000324287,['hsa04144']
ENSP00000264712,unknown
ENSP00000379712,['hsa04144']
ENSP00000273130,['hsa04145']
ENSP00000354560,unknown
ENSP00000357048,unknown
ENSP00000377233,['hsa04144']
ENSP00000223369,['hsa04130']
ENSP00000249923,unknown
ENSP00000480301,['hsa04144']
ENSP00000378356,unknown
ENSP00000361057,unknown
ENSP00000341344,['hsa04142']
ENSP00000360532,['hsa03040']
ENSP00000320130,['hsa04145']
ENSP00000387286,unknown
ENSP00000020673,['hsa04144']
ENSP00000358921,unknown
ENSP00000354947,['hsa04144']
ENSP00000263168,['hsa04144']
ENSP00000379191,"['hsa04610', 'hsa04640']"
ENSP00000334100,['hsa04910']
ENSP00000317790,unknown
ENSP00000377284,['hsa04144']
ENSP00000444850,unknown
ENSP00000265148,unknown
ENSP00000393963,unknown
ENSP00000360214,unknown
ENSP00000333942,unknown
ENSP00000363524,unknown
ENSP00000297814,unknown
ENSP00000440005,"['hsa04072', 'hsa04144']"
ENSP00000347839,['hsa04144']
ENSP00000256682,['hsa04144']
ENSP00000399403,unknown
ENSP00000222008,unknown
ENSP00000411831,unknown
ENSP00000414906,unknown
ENSP00000408236,"['hsa04072', 'hsa04144']"
ENSP00000287152,unknown
ENSP00000465992,unknown
ENSP00000438388,unknown
ENSP00000388241,unknown
ENSP00000248901,"['hsa04072', 'hsa04144']"
ENSP00000408979,['hsa04144']
ENSP00000299705,unknown
ENSP00000254286,unknown
ENSP00000360793,unknown
ENSP00000258198,['hsa04145']
ENSP00000484121,unknown
ENSP00000317971,unknown
ENSP00000330945,unknown
ENSP00000265709,unknown
ENSP00000306010,unknown
ENSP00000281419,"['hsa04144', 'hsa04666']"
ENSP00000356030,unknown
