ensembl,gene_exp,Affinity,Class,disease_score,disgenet_score,pathways,kinaseness
ENSP00000000233,0.0,0.0,0.0,0.0,0.0,['hsa04144'],1.0
ENSP00000000412,0.0,0.0,0.0,0.0,0.0,"['hsa04142', 'hsa04145']",1.0
ENSP00000001008,0.0,0.0,0.0,0.0,0.0,['hsa04915'],1.0
ENSP00000001146,0.0,0.0,0.0,0.0,0.0,['hsa00830'],1.0
ENSP00000002125,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000002165,0.0,0.0,0.0,0.0,0.0,['hsa00511'],1.0
ENSP00000002596,0.0,0.0,0.0,0.0,0.0,['hsa00534'],1.0
ENSP00000002829,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000003084,0.0,0.0,0.0,0.0,0.0,"['hsa02010', 'hsa04024', 'hsa04152', 'hsa04530']",1.0
ENSP00000003100,0.0,0.0,0.0,0.0,0.0,['hsa00100'],1.0
ENSP00000003302,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000004531,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005178,0.0,0.0,0.0,0.0,0.0,unknown,2.0
ENSP00000005226,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005257,0.0,0.0,0.0,0.0,0.0,"['hsa04014', 'hsa04015', 'hsa04072']",1.0
ENSP00000005260,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005284,0.0,0.0,0.0,0.0,0.0,"['hsa04010', 'hsa04921']",1.0
ENSP00000005286,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005340,0.0,0.0,0.0,0.0,0.0,"['hsa04150', 'hsa04310', 'hsa04330', 'hsa04390', 'hsa04550', 'hsa04916']",1.0
ENSP00000005386,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005587,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000005995,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006015,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006053,0.0,0.0,0.0,0.0,0.0,"['hsa04060', 'hsa04061', 'hsa04062', 'hsa04668']",1.0
ENSP00000006275,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006526,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006658,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006724,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000006777,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000007390,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000007414,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000007699,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000007722,0.0,0.0,0.0,0.0,0.0,"['hsa04151', 'hsa04510', 'hsa04512', 'hsa04640']",1.0
ENSP00000008391,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000008527,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000008938,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000009041,0.0,0.0,0.0,0.0,0.0,unknown,1.0
ENSP00000009105,0.0,4.8350217419999995,0.0,0.0,0.0,"['hsa04020', 'hsa04921', 'hsa04925']",2.0
ENSP00000009530,0.0,0.0,0.0,1.0490000000000002,0.01,['hsa04612'],1.0
